housing_type,size_sqm,rooms,floor,furnished,roommate_friendly,pets_allowed,elevator,senior_friendly,students_only,balcony_terrace,parking,dishwasher,washing_machine,charging_station,dryer,energy_mark,area,availability_in,days_on_website,months_on_website,monthly_rent_log,monthly_aconto_log,deposit_log,prepaid_rent_log,total_monthly_rent_log
Lejlighed,40.0,1,1,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,none,Vanløse,<1 month,11.0,<1 month,8.922791623969637,6.26530121273771,10.021315031649332,0.0,8.990441550826862
Lejlighed,75.0,3,3,Nej,Ja,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ikke angivet,Ja,none,Rødovre,<1 month,11.0,<1 month,9.510519035757246,6.398594934535208,10.609081944147828,9.510519035757246,9.55400099583723
Lejlighed,68.0,2,3,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,A20,Vallensbæk Strand,<1 month,11.0,<1 month,9.23024103368252,6.68586094706836,10.328787967145063,9.23024103368252,9.305741456739435
Lejlighed,49.0,2,11,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Nej,Ja,none,Rødovre,1-3 months,11.0,<1 month,9.287394001418473,6.2166061010848646,10.385944565501662,9.287394001418473,9.332646496360152
Lejlighed,43.0,2,0,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,A15,Glostrup,3+ months,11.0,<1 month,9.116139576577355,6.68586094706836,10.214678610538817,9.116139576577355,9.200391041122515
Lejlighed,96.0,3,1,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,A15,Ballerup,1-3 months,11.0,<1 month,9.44943600950432,6.573680166960646,10.547995807489514,9.44943600950432,9.504203303503045
Lejlighed,106.0,3,2,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,A15,Kongens Lyngby,3+ months,11.0,<1 month,9.717218213494077,6.811244378601294,10.815790343132422,0.0,9.770413198310786
Lejlighed,91.0,2,0,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,C,København SV,1-3 months,11.0,<1 month,9.62251624577579,6.90875477931522,10.721084386282662,9.62251624577579,9.686636660844938
Lejlighed,97.0,4,4,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Nej,Nej,Nej,A10,Søborg,1-3 months,11.0,<1 month,9.552226498441476,7.591357046698551,10.650791424048029,9.552226498441476,9.683837890476173
Lejlighed,91.0,3,2,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Nej,Nej,Nej,C,Rødovre,1-3 months,11.0,<1 month,9.310457163310955,6.2166061010848646,10.409009134710212,10.409009134710212,9.354700422483019
