monthly_rent,monthly_aconto,housing_type,size_sqm,rooms,floor,furnished,roommate_friendly,pets_allowed,elevator,senior_friendly,students_only,balcony_terrace,parking,dishwasher,washing_machine,charging_station,dryer,deposit,prepaid_rent,energy_mark,area,availability_in,days_on_website,total_monthly_rent,months_on_website
12400.0,600.0,Lejlighed,72.0,3,2,Ja,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,37200.0,0.0,none,Søborg,<1 month,11.0,13000.0,<1 month
14900.0,800.0,Lejlighed,82.0,4,1,Ja,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,44700.0,0.0,none,Gentofte,<1 month,11.0,15700.0,<1 month
12800.0,700.0,Lejlighed,81.0,3,3,Nej,Ja,Ja,Ikke angivet,Nej,Nej,Ja,Ja,Ikke angivet,Ja,Nej,Ja,38400.0,12800.0,none,Herlev,1-3 months,11.0,13500.0,<1 month
10950.0,700.0,Lejlighed,71.0,2,2,Nej,Ja,Ja,Ikke angivet,Nej,Nej,Ja,Ja,Ikke angivet,Ja,Nej,Ja,32850.0,10950.0,none,Herlev,1-3 months,11.0,11650.0,<1 month
15500.0,1000.0,Lejlighed,108.0,4,2,Ja,Ja,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,15500.0,15500.0,A15,Kastrup,1-3 months,11.0,16500.0,<1 month
15050.0,1130.0,Lejlighed,113.0,3,2,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,45150.0,15050.0,A15,Valby,1-3 months,11.0,16180.0,<1 month
27500.0,0.0,Lejlighed,265.0,7,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,82500.0,82500.0,C,København Ø,<1 month,11.0,27500.0,<1 month
11500.0,1000.0,Lejlighed,79.0,3,0,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,34500.0,11500.0,A20,Vallensbæk Strand,<1 month,11.0,12500.0,<1 month
16975.0,1137.0,Lejlighed,94.0,3,2,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Nej,Ja,Ja,Nej,Ja,50925.0,16975.0,A10,København SV,1-3 months,11.0,18112.0,<1 month
7500.0,0.0,Værelse,12.0,1,1,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Nej,Ja,7500.0,7500.0,E,Skodsborg,<1 month,11.0,7500.0,<1 month
5500.0,0.0,Værelse,18.0,1,4,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,5500.0,0.0,C,København K,<1 month,11.0,5500.0,<1 month
